ParticipantID,Slope
sub004,0.00532346032559872
sub006,-0.000672723923344165
sub007,0.00580563116818666
sub008,0.00247637392021716
sub009,0.000119786207505967
sub010,-0.0217591561377048
sub011,-0.00085353764006868
sub012,0.00485216733068228
sub014,0.0011316294549033
sub015,-0.00306525034829974
sub017,0.00232228613458574
sub018,-0.00526995956897736
sub019,0.00521884672343731
sub020,0.0089736869558692
sub021,-0.0076346336863935
sub022,0.00383738940581679
sub024,-0.000197843968635425
sub025,0.000144872246892191
sub026,-0.00525936670601368
sub027,0.00323407165706158
sub031,0.00159005611203611
sub032,-0.00478751119226217
sub033,-0.000475149136036634
sub034,-0.000574154953937978
sub035,0.00030064387829043
sub036,-0.000427974067861214
sub037,0.00147472135722637
sub038,-0.000619439582806081
sub039,0.00115063122939318
sub040,-0.00378137058578432
sub041,-0.000633191899396479
sub042,-0.00515457941219211
sub043,0.00157235655933619
sub044,-0.0099198967218399
sub045,-0.00618278980255127
sub046,-0.000401868222979829
sub047,-0.00355729297734797
sub049,-0.00215630885213614
sub051,-0.0103246839717031
sub052,-0.00150537770241499
sub053,-0.00433528423309326
sub054,-0.00140765577089041
sub056,-0.00979660823941231
sub057,0.00788639113306999
sub059,-0.001659722533077
sub062,-0.00506701972335577
sub064,0.00153136835433543
sub065,0.00161979894619435
sub066,0.00592908728867769
sub068,0.00518038123846054
sub069,-0.00294370227493346
sub070,-0.00112998788245022
sub071,0.00446722470223904
sub072,-0.00690055312588811
sub073,-0.00251756771467626
sub074,0.00207358272746205
sub075,0.00254208315163851
sub076,0.00135595817118883
sub077,-0.00316140800714493
sub078,0.00670210504904389
sub079,-0.000469897582661361
sub081,-0.00599975464865565
sub082,-0.00115632882807404
sub083,0.00455677509307861
sub084,-0.00553472386673093
sub085,-0.000986726488918066
sub086,0.00281042675487697
sub088,0.000552431447431445
sub089,-0.0114802541211247
sub090,-0.00462703732773662
sub091,0.00128358684014529
sub093,-0.00370947411283851
sub094,0.000755919201765209
sub096,-0.0152933206409216
sub097,-0.001759959384799
sub098,-0.00568590220063925
sub099,0.00105066620744765
sub100,-0.00303546921350062
sub101,0.00108659348916262
sub102,0.00192630290985107
sub103,0.00379814323969185
sub104,-0.00186841003596783
sub105,-0.0022753591183573
sub106,-0.00561711424961686
sub107,-0.00347212492488325
sub108,0.00771745713427663
sub109,-0.000193723739357665
sub110,-0.00143409089650959
sub111,-0.00853733997792006
sub112,0.000960349338129163
sub113,0.00166392151731998
sub114,0.000204773299628869
sub115,-0.000100862358522136
sub116,0.00378678948618472
sub117,0.00174728338606656
sub118,0.000307731272187084
sub120,0.000370657653547823
sub122,-0.000561642402317375
sub123,0.00373120466247201
sub124,-0.00337166013196111
sub125,-0.000845013651996851
sub126,0.00130991637706757
sub127,0.00855666399002075
sub128,0.0113909859210253
sub129,-0.00149272347334772
sub130,-0.0100227063521743
sub131,0.00204385188408196
